log_id,member_id,workout_type,calories_burned,workout_date
129,996,HIIT,347,2025-03-12
130,724,Yoga,348,2025-07-18
131,3564,Yoga,670,2025-08-13
132,1442,Yoga,259,2024-07-14
133,2240,CrossFit,242,2025-05-15
134,3122,CrossFit,472,2025-11-23
135,4725,Cardio,670,2025-07-06
136,4485,HIIT,360,2025-02-09
137,1196,CrossFit,170,2025-09-07
138,3040,Cardio,195,2024-12-16
139,3563,Cardio,315,2026-01-30
140,3782,Cardio,734,2024-10-29
141,4094,Yoga,261,2025-10-31
142,441,Cardio,365,2026-01-26
143,1488,Strength,176,2025-11-21
144,271,Strength,593,2026-02-21
145,4068,CrossFit,696,2025-09-18
146,4290,Yoga,359,2024-12-17
147,791,HIIT,536,2025-07-18
148,3081,Strength,764,2025-05-29
149,1121,Yoga,374,2025-04-18
150,1466,CrossFit,531,2025-11-02
151,2679,HIIT,400,2025-06-08
152,1906,Cardio,487,2025-09-10
153,378,Cardio,231,2025-04-18
154,964,Yoga,627,2024-07-11
155,4093,Yoga,542,2024-04-21
156,3155,HIIT,413,2024-05-03
157,2996,CrossFit,609,2025-02-08
158,2216,Cardio,290,2024-12-14
159,4718,Strength,323,2024-04-20
160,225,CrossFit,353,2025-12-20
161,2545,CrossFit,393,2024-12-06
162,1728,Cardio,741,2024-03-18
163,4154,Cardio,620,2025-04-16
164,196,CrossFit,714,2024-06-20
165,2348,Strength,662,2025-04-22
166,788,Yoga,555,2026-01-21
167,4068,Yoga,725,2026-01-04
168,4766,HIIT,170,2025-08-11
169,4756,CrossFit,739,2024-05-24
170,1579,Cardio,350,2024-07-12
171,1081,Cardio,358,2025-12-08
172,1552,CrossFit,494,2024-05-09
173,2403,Yoga,465,2024-07-04
174,2237,Yoga,481,2025-11-23
175,4163,Strength,785,2025-07-29
176,2078,CrossFit,682,2024-12-19
177,1752,CrossFit,695,2024-11-21
178,1493,Yoga,424,2024-11-25
179,2754,Cardio,268,2026-02-24
180,21,CrossFit,265,2026-02-17
181,3073,Yoga,591,2026-01-21
182,4204,HIIT,532,2024-06-23
183,3023,Yoga,250,2024-08-19
184,1934,CrossFit,773,2024-09-18
185,4548,Yoga,314,2026-02-04
186,4958,Strength,310,2025-06-25
187,2065,Strength,563,2026-02-18
188,4335,Yoga,782,2024-08-23
189,3550,Yoga,780,2025-08-07
190,3726,Strength,775,2025-12-09
191,2113,Strength,531,2025-06-04
192,1442,Strength,432,2025-04-07
193,3205,Strength,274,2025-05-18
194,4356,Yoga,647,2025-09-05
195,4928,CrossFit,737,2025-04-03
196,4945,Yoga,426,2024-04-15
197,4420,CrossFit,424,2025-10-14
198,224,Yoga,480,2024-11-21
199,897,CrossFit,529,2024-12-12
200,1739,Strength,182,2024-02-26
201,214,HIIT,441,2024-03-19
202,847,CrossFit,655,2025-01-10
203,1228,Yoga,595,2024-12-05
204,3551,Cardio,639,2024-03-01
205,631,HIIT,235,2025-10-08
206,4655,Strength,427,2025-04-09
207,389,Cardio,656,2025-09-08
208,2012,Strength,712,2025-11-09
209,4781,CrossFit,206,2024-10-13
210,4487,Cardio,416,2026-01-05
211,2431,Cardio,794,2024-09-23
212,4504,Cardio,401,2026-02-22
213,1296,Strength,167,2025-12-09
214,717,Yoga,215,2026-02-09
215,4194,Cardio,728,2024-09-19
216,2054,Yoga,641,2024-08-16
217,4810,Strength,483,2024-09-15
218,2308,Yoga,216,2025-06-06
219,3285,CrossFit,402,2025-04-10
220,4960,Strength,704,2024-11-23
221,469,HIIT,533,2024-04-08
222,4664,Yoga,306,2024-03-14
223,4969,HIIT,783,2025-07-05
224,3105,Yoga,155,2024-10-05
225,494,Yoga,372,2025-11-16
226,3753,Cardio,537,2025-08-06
227,891,Cardio,591,2025-09-19
228,2127,HIIT,531,2024-04-14
229,1374,HIIT,473,2024-04-10
230,1574,Yoga,496,2025-07-11
231,1756,Cardio,587,2025-01-18
232,4588,Yoga,464,2026-01-30
233,1977,Strength,413,2024-06-09
234,1287,Cardio,671,2024-02-26
235,606,CrossFit,299,2025-12-04
236,4532,Strength,450,2025-10-12
237,4597,Strength,318,2024-11-28
238,680,CrossFit,246,2025-09-06
239,107,Strength,455,2024-02-28
240,3737,Cardio,658,2024-10-10
241,1811,HIIT,217,2025-01-28
242,4171,Cardio,557,2025-05-14
243,4965,Strength,172,2024-05-20
244,2928,Cardio,512,2024-07-29
245,3169,Cardio,769,2025-12-28
246,4858,Strength,662,2024-12-03
247,1645,Cardio,293,2024-10-07
248,4151,Strength,795,2025-01-21
249,2886,Yoga,623,2024-10-06
250,3908,CrossFit,543,2024-12-01
251,4825,Strength,523,2025-12-30
252,3000,HIIT,162,2025-09-21
253,2561,CrossFit,393,2026-02-09
254,961,Cardio,800,2025-06-12
255,902,CrossFit,545,2025-03-24
256,3986,HIIT,230,2025-07-06
257,4003,HIIT,291,2024-06-05
258,2243,CrossFit,621,2025-06-22
259,55,Strength,595,2025-02-03
260,1399,Cardio,610,2025-12-25
261,4206,Yoga,775,2025-01-29
262,2534,Cardio,308,2025-08-01
263,1738,Yoga,708,2025-08-14
264,4993,Strength,748,2025-01-26
265,2470,Cardio,650,2024-12-26
266,2146,Cardio,374,2024-12-28
267,1650,CrossFit,514,2025-01-26
268,3149,Yoga,196,2025-11-30
269,1972,HIIT,703,2025-12-19
270,438,HIIT,533,2025-01-31
271,4131,Strength,376,2024-06-15
272,1740,Yoga,694,2025-10-25
273,4731,Yoga,721,2025-04-22
274,943,Yoga,418,2026-02-21
275,1144,Yoga,222,2025-12-06
276,370,CrossFit,666,2025-08-06
277,400,Cardio,516,2025-05-17
278,331,HIIT,602,2025-08-05
279,3307,CrossFit,601,2024-07-23
280,1619,HIIT,630,2025-06-23
281,3764,CrossFit,394,2024-10-31
282,4168,Strength,281,2024-09-14
283,4910,Cardio,189,2025-03-28
284,171,Yoga,470,2025-04-03
285,1844,HIIT,742,2024-10-25
286,3067,Strength,500,2025-02-19
287,2761,Cardio,711,2025-09-04
288,2607,HIIT,390,2025-04-26
289,1519,CrossFit,697,2025-11-23
290,2344,Yoga,539,2024-02-25
291,2243,Cardio,645,2024-03-28
292,169,Cardio,406,2025-12-20
293,3151,Cardio,491,2025-11-26
294,2803,Strength,562,2026-02-18
295,2477,Yoga,286,2025-05-07
296,3450,HIIT,687,2025-08-06
297,3351,Cardio,576,2025-08-01
298,436,Cardio,469,2025-01-28
299,4060,Cardio,234,2025-07-01
300,3437,CrossFit,181,2025-11-01
301,2754,Cardio,223,2024-12-24
302,695,Strength,269,2024-11-03
303,1682,CrossFit,606,2025-12-12
304,3871,Strength,601,2024-03-25
305,1062,Cardio,566,2024-07-24
306,3694,Cardio,641,2024-10-23
307,1927,Cardio,418,2025-02-09
308,2037,Yoga,649,2025-10-23
309,3895,Strength,313,2025-10-31
310,3859,CrossFit,317,2026-01-17
311,99,Cardio,346,2025-10-06
312,1400,Strength,476,2025-04-04
313,877,Strength,278,2025-04-18
314,1542,Yoga,252,2024-11-10
315,4214,Strength,194,2024-04-22
316,3300,CrossFit,271,2024-11-08
317,2796,Yoga,182,2024-04-08
318,4443,CrossFit,316,2025-10-06
319,793,CrossFit,293,2025-09-02
320,4948,Yoga,218,2025-01-21
321,566,Cardio,349,2024-05-09
322,4272,Strength,749,2024-11-15
323,3041,Yoga,329,2024-06-16
324,3726,HIIT,735,2025-09-24
325,887,Yoga,292,2024-06-04
326,2894,CrossFit,386,2025-09-12
327,3910,Cardio,445,2024-05-09
328,282,Strength,753,2025-09-10
329,1721,HIIT,271,2026-02-08
330,1827,CrossFit,532,2025-12-29
331,1896,Yoga,493,2026-01-23
332,410,Cardio,493,2025-06-12
333,2832,Strength,475,2025-08-30
334,2472,CrossFit,599,2024-11-03
335,3086,HIIT,181,2026-01-11
336,764,Yoga,735,2025-07-01
337,3368,Strength,174,2024-12-28
338,3725,Strength,527,2025-11-20
339,3455,HIIT,390,2025-02-28
340,944,CrossFit,205,2024-12-29
341,3047,Strength,624,2024-05-26
342,632,HIIT,358,2024-06-04
343,1511,CrossFit,562,2024-04-23
344,2089,Yoga,620,2025-08-10
345,1315,CrossFit,603,2024-10-03
346,2320,HIIT,572,2024-11-10
347,2433,Cardio,611,2026-01-15
348,68,Cardio,183,2026-01-30
349,199,CrossFit,711,2025-04-16
350,4987,Strength,593,2024-03-06
351,1617,CrossFit,549,2025-06-21
352,1346,Cardio,530,2025-04-13
353,438,CrossFit,787,2024-10-05
354,3690,Yoga,226,2024-05-06
355,3629,Strength,247,2024-09-03
356,701,Cardio,592,2025-05-31
357,1740,Yoga,527,2025-09-25
358,3843,Strength,402,2026-01-31
359,2034,Cardio,684,2025-03-30
360,523,CrossFit,193,2024-03-24
361,4465,Strength,502,2025-08-27
362,4871,CrossFit,626,2024-11-23
363,4034,CrossFit,152,2025-03-31
364,1963,Yoga,749,2024-03-02
365,4305,Strength,545,2025-09-17
366,854,Strength,235,2024-04-16
367,664,Cardio,345,2024-08-28
368,1720,Strength,764,2025-01-18
369,2636,HIIT,377,2025-05-06
370,2288,Strength,752,2024-07-29
371,3497,CrossFit,581,2024-07-17
372,4741,Yoga,769,2024-12-30
373,3896,Strength,181,2025-09-06
374,2577,CrossFit,282,2024-06-19
375,2310,CrossFit,459,2024-11-03
376,2882,Yoga,324,2025-09-25
377,2140,HIIT,632,2025-05-08
378,2287,Strength,794,2026-01-22
379,1966,Yoga,465,2025-12-01
380,4025,Strength,163,2025-10-15
381,3905,HIIT,223,2026-01-08
382,1932,HIIT,253,2025-11-17
383,748,Strength,192,2026-01-12
384,2122,CrossFit,271,2024-03-06
385,3144,HIIT,446,2026-01-13
386,1435,CrossFit,438,2024-11-12
387,3055,Cardio,407,2024-03-26
388,2260,Yoga,326,2025-11-01
389,4763,HIIT,423,2025-01-20
390,2422,Yoga,737,2024-05-15
391,2673,HIIT,192,2025-07-08
392,4170,Strength,429,2025-06-27
393,2015,Cardio,570,2025-06-11
394,4220,Cardio,594,2024-10-28
395,966,HIIT,271,2024-09-24
396,2022,HIIT,715,2024-09-05
397,1374,Yoga,255,2024-07-01
398,3515,Strength,352,2024-04-21
399,2307,Yoga,649,2024-07-01
400,3247,Yoga,483,2024-08-08
401,3231,Yoga,639,2025-07-20
402,1294,HIIT,203,2024-04-23
403,4403,Strength,725,2024-12-05
404,130,Strength,563,2024-08-06
405,3310,Cardio,508,2025-07-12
406,2389,CrossFit,632,2025-07-15
407,1257,Strength,471,2025-07-22
408,3202,Cardio,449,2025-04-20
409,4374,CrossFit,754,2025-02-23
410,1504,HIIT,425,2025-10-21
411,714,Strength,665,2025-06-22
412,825,Cardio,474,2025-08-10
413,2296,Cardio,667,2024-11-25
414,541,Strength,515,2025-01-10
415,4244,Yoga,380,2024-05-30
416,3535,HIIT,304,2024-11-27
417,4186,HIIT,299,2024-12-07
418,2317,HIIT,388,2025-12-03
419,3379,HIIT,626,2024-05-13
420,2173,CrossFit,484,2025-04-26
421,743,HIIT,462,2025-06-24
422,3977,HIIT,480,2024-12-17
423,3452,Yoga,706,2026-02-24
424,2962,CrossFit,308,2024-08-08
425,329,HIIT,210,2025-02-12
426,4557,Cardio,158,2025-09-21
427,2566,CrossFit,266,2025-06-05
428,4893,HIIT,247,2024-12-18
429,3388,Cardio,254,2024-09-19
430,3716,Cardio,313,2024-04-10
431,4935,Strength,314,2025-11-06
432,2601,Cardio,540,2025-12-24
433,2620,HIIT,445,2025-10-19
434,3039,Yoga,753,2025-02-07
435,4984,Yoga,626,2025-08-11
436,2321,Cardio,530,2026-02-02
437,2402,HIIT,461,2024-08-28
438,1937,Cardio,476,2024-06-20
439,1559,Yoga,793,2024-06-26
440,156,CrossFit,286,2024-08-09
441,336,CrossFit,740,2025-01-25
442,3502,Cardio,322,2025-08-16
443,4776,HIIT,628,2025-05-05
444,1040,Strength,714,2025-12-31
445,2373,CrossFit,697,2025-11-08
446,3326,CrossFit,266,2025-10-18
447,2359,CrossFit,455,2024-08-25
448,4463,Cardio,292,2025-11-27
449,1862,Yoga,780,2024-03-27
450,4563,Yoga,293,2024-03-12
451,2421,CrossFit,175,2024-04-26
452,4862,Yoga,431,2025-07-31
453,1492,HIIT,514,2024-12-20
454,2830,HIIT,671,2025-05-15
455,1781,Strength,328,2024-05-02
456,3318,HIIT,525,2026-01-08
457,792,CrossFit,645,2025-08-28
458,1404,Strength,742,2024-08-06
459,1403,Strength,650,2025-01-31
460,4261,Cardio,657,2025-03-31
461,124,CrossFit,357,2025-09-20
462,2588,Strength,274,2025-12-10
463,197,HIIT,577,2025-12-30
464,4847,Cardio,516,2025-04-06
465,3988,Yoga,431,2025-12-30
466,836,Cardio,301,2024-08-06
467,4256,Yoga,535,2024-12-24
468,4874,Strength,716,2025-08-15
469,2899,Strength,504,2024-08-08
470,2493,Strength,514,2024-06-10
471,1361,Cardio,604,2024-04-21
472,360,Cardio,314,2025-03-16
473,222,CrossFit,762,2025-04-10
474,3916,Strength,571,2025-08-01
475,756,Cardio,784,2024-11-08
476,1650,HIIT,423,2025-12-29
477,1203,HIIT,562,2024-04-19
478,3544,Cardio,342,2024-07-05
479,970,HIIT,740,2024-09-29
480,2519,HIIT,269,2025-01-14
481,2107,Strength,309,2025-09-07
482,4637,Cardio,746,2024-09-08
483,837,Cardio,576,2024-09-02
484,1033,CrossFit,188,2025-06-02
485,3276,HIIT,711,2024-05-28
486,125,Strength,742,2025-08-13
487,2177,CrossFit,700,2025-09-03
488,1681,HIIT,229,2025-06-19
489,2469,CrossFit,367,2025-05-14
490,4031,Strength,566,2024-04-23
491,4325,Strength,425,2025-01-18
492,2758,HIIT,631,2024-02-27
493,4817,HIIT,794,2025-09-28
494,4290,CrossFit,331,2025-02-24
495,4233,HIIT,554,2024-06-06
496,2382,Cardio,283,2025-02-09
497,1651,Strength,557,2024-10-21
498,347,CrossFit,461,2025-06-24
499,694,Yoga,208,2024-05-03
500,4391,Strength,168,2024-09-02
501,2900,CrossFit,546,2025-01-01
502,1823,Yoga,445,2025-04-24
503,611,Strength,605,2025-10-13
504,2827,Strength,567,2025-01-09
505,2056,Cardio,312,2026-01-18
506,1455,Yoga,747,2024-04-09
507,1370,Cardio,643,2026-02-24
508,3074,Yoga,326,2024-06-09
509,459,Strength,338,2024-12-05
510,3684,HIIT,312,2025-03-13
511,4981,Strength,238,2025-08-24
512,63,Strength,601,2024-06-20
513,985,CrossFit,659,2024-11-06
514,3851,CrossFit,569,2024-10-12
515,136,Cardio,518,2024-12-04
516,3440,CrossFit,360,2024-06-30
517,4099,Yoga,747,2025-12-25
518,2165,Yoga,244,2024-08-04
519,713,CrossFit,720,2025-01-16
520,3436,Yoga,565,2025-03-10
521,4491,Cardio,222,2024-03-23
522,230,Yoga,620,2025-01-12
523,4110,Yoga,640,2025-09-12
524,4232,Strength,566,2024-03-12
525,2219,CrossFit,612,2025-11-05
526,1677,Strength,763,2025-01-09
527,3910,Cardio,351,2025-08-22
528,2056,HIIT,518,2024-04-14
529,4111,HIIT,324,2025-05-12
530,3786,Strength,637,2025-02-21
531,26,Strength,501,2024-07-22
532,4697,HIIT,599,2024-08-26
533,4680,Strength,442,2025-04-18
534,2594,CrossFit,483,2025-11-20
535,1692,Yoga,788,2025-05-19
536,4370,Strength,308,2024-07-20
537,1783,CrossFit,451,2025-02-26
538,4861,Yoga,688,2024-08-28
539,78,HIIT,654,2024-02-28
540,4167,Cardio,384,2025-07-15
541,4310,HIIT,263,2025-11-07
542,2702,CrossFit,670,2025-01-27
543,793,HIIT,462,2024-06-17
544,3659,Strength,554,2024-03-20
545,3432,Strength,204,2024-05-30
546,3361,Yoga,594,2024-10-13
547,1017,Strength,330,2025-02-06
548,4910,Strength,240,2025-12-16
549,3728,Strength,392,2025-08-08
550,81,Strength,328,2025-02-24
551,2080,Strength,367,2025-10-13
552,2625,Strength,541,2024-09-22
553,899,Strength,305,2024-12-22
554,1647,Yoga,302,2024-04-07
555,272,Cardio,587,2024-11-07
556,1183,Cardio,223,2025-09-14
557,2117,Cardio,548,2024-11-15
558,4760,CrossFit,176,2025-02-28
559,307,Cardio,473,2024-08-24
560,2230,Cardio,493,2026-01-22
561,1247,Strength,467,2025-02-21
562,4093,Yoga,710,2025-09-20
563,2521,CrossFit,162,2025-06-13
564,3874,Strength,681,2025-04-28
565,2118,Yoga,410,2024-06-01
566,3865,HIIT,800,2024-07-02
567,193,Cardio,188,2025-03-24
568,2901,Yoga,483,2025-05-22
569,4425,HIIT,681,2024-07-02
570,4919,Strength,331,2024-08-22
571,2003,CrossFit,184,2025-02-14
572,3669,Yoga,273,2024-04-16
573,2687,Yoga,622,2024-05-17
574,4629,CrossFit,354,2025-07-07
575,2292,Cardio,634,2025-10-01
576,2886,CrossFit,751,2025-07-14
577,1138,Cardio,746,2026-01-31
578,4798,Yoga,700,2025-03-31
579,2826,Cardio,580,2025-04-30
580,4788,Strength,772,2024-09-24
581,663,Yoga,360,2026-02-18
582,3159,Yoga,640,2025-10-23
583,960,Cardio,596,2025-02-08
584,4075,HIIT,458,2024-07-24
585,4297,Cardio,183,2025-10-16
586,2122,CrossFit,427,2024-08-30
587,1363,Cardio,421,2025-09-13
588,3491,Cardio,205,2024-10-18
589,47,Yoga,287,2024-09-17
590,3443,CrossFit,562,2024-07-31
591,2922,HIIT,734,2025-11-12
592,1784,CrossFit,603,2024-02-25
593,2320,Yoga,286,2024-11-05
594,2678,Strength,777,2024-12-18
595,4009,HIIT,249,2024-04-20
596,2827,Cardio,245,2025-03-28
597,1084,Strength,703,2025-06-23
598,4892,CrossFit,206,2025-07-26
599,1980,Cardio,556,2025-12-08
600,2658,CrossFit,151,2024-11-30
601,2611,Yoga,529,2025-08-08
602,2698,CrossFit,327,2025-12-09
603,4563,Strength,720,2025-09-07
604,515,Strength,310,2024-09-26
605,2655,Yoga,733,2024-10-22
606,2773,CrossFit,748,2025-07-05
607,4457,HIIT,681,2026-01-11
608,4682,Yoga,270,2025-02-06
609,3406,CrossFit,188,2025-10-28
610,2576,Yoga,328,2024-09-19
611,687,CrossFit,251,2024-05-07
612,3774,Cardio,224,2024-07-10
613,2260,Yoga,470,2025-03-07
614,1670,Yoga,266,2024-11-25
615,3412,Strength,469,2025-03-25
616,3903,Cardio,257,2024-11-27
617,1042,Cardio,784,2025-10-09
618,2503,Yoga,747,2024-10-04
619,3484,Cardio,445,2025-04-04
620,4034,CrossFit,798,2025-01-26
621,1995,Strength,605,2024-03-11
622,3818,Yoga,690,2025-07-16
623,2838,CrossFit,416,2025-02-09
624,3627,Yoga,201,2024-09-23
625,3627,Yoga,773,2025-06-11
626,97,Cardio,401,2024-06-25
627,454,Cardio,702,2026-01-24
628,2789,Strength,362,2025-12-08
629,4712,Strength,340,2025-02-13
630,4178,HIIT,150,2025-02-02
631,16,Cardio,457,2026-01-06
632,4348,Yoga,290,2024-07-06
633,1584,CrossFit,368,2025-01-07
634,1546,Strength,714,2024-03-28
635,3618,Strength,713,2024-09-15
636,4928,HIIT,726,2024-10-01
637,673,Yoga,574,2025-09-27
638,1475,Yoga,491,2026-01-02
639,1667,Strength,505,2024-11-03
640,3782,CrossFit,636,2024-04-11
641,1248,HIIT,618,2025-05-14
642,4146,Yoga,608,2024-06-13
643,1430,Yoga,575,2025-05-12
644,207,Strength,645,2025-05-18
645,907,CrossFit,206,2024-04-17
646,591,Strength,514,2024-11-06
647,661,Cardio,259,2025-04-06
648,2870,Strength,360,2024-09-26
649,1152,Strength,196,2025-06-28
650,3510,CrossFit,436,2025-10-28
651,2120,CrossFit,155,2025-05-22
652,2795,Cardio,602,2024-07-21
653,1892,HIIT,267,2024-05-25
654,1879,Cardio,510,2024-10-24
655,2405,Yoga,509,2026-01-09
656,3560,Strength,448,2024-05-06
657,980,Strength,520,2025-07-21
658,4315,CrossFit,384,2024-06-25
659,3277,HIIT,324,2025-07-04
660,2180,CrossFit,338,2024-06-07
661,2941,Strength,318,2025-12-16
662,2727,Strength,745,2025-08-18
663,1339,CrossFit,157,2024-11-03
664,2677,HIIT,256,2024-04-07
665,3589,CrossFit,724,2025-08-15
666,3571,Strength,598,2024-07-08
667,4865,Yoga,542,2024-06-21
668,161,HIIT,442,2025-07-16
669,4606,CrossFit,161,2024-11-27
670,4716,HIIT,783,2024-08-02
671,4477,HIIT,573,2026-01-24
672,274,CrossFit,598,2025-11-13
673,1841,CrossFit,611,2024-07-13
674,1751,Strength,493,2024-07-23
675,3251,Cardio,241,2024-04-17
676,281,CrossFit,712,2025-09-04
677,4748,CrossFit,315,2025-01-09
678,987,CrossFit,257,2024-03-04
679,4916,Strength,760,2024-03-19
680,553,Cardio,282,2024-05-03
681,4125,CrossFit,213,2025-11-09
682,2147,Strength,474,2025-04-28
683,2457,Cardio,428,2025-12-15
684,1943,Yoga,491,2025-06-14
685,2004,CrossFit,267,2026-02-14
686,853,Strength,595,2025-11-29
687,4086,HIIT,310,2024-04-26
688,2653,Yoga,474,2024-10-14
689,4365,CrossFit,466,2024-03-17
690,710,Strength,520,2024-09-08
691,664,Strength,339,2025-03-15
692,3288,CrossFit,363,2024-03-16
693,492,Cardio,238,2025-04-06
694,165,HIIT,475,2024-06-29
695,376,Yoga,505,2025-04-26
696,3005,HIIT,460,2025-11-11
697,2241,Cardio,497,2026-02-06
698,505,Strength,461,2025-10-14
699,773,CrossFit,546,2025-07-29
700,1127,Cardio,470,2024-10-30
701,2862,Yoga,700,2025-01-09
702,4894,Cardio,403,2025-02-14
703,4191,Cardio,778,2025-05-29
704,666,Strength,557,2025-03-30
705,1407,Cardio,295,2025-06-23
706,38,CrossFit,679,2024-04-11
707,347,HIIT,788,2024-10-12
708,3978,Cardio,329,2026-01-30
709,2074,Strength,752,2024-09-04
710,1820,CrossFit,728,2025-05-22
711,3313,HIIT,604,2024-06-22
712,3509,HIIT,264,2024-04-05
713,3077,Strength,459,2024-04-03
714,2311,CrossFit,279,2026-02-04
715,193,HIIT,501,2025-11-21
716,3809,Yoga,195,2024-09-09
717,1322,Strength,645,2025-10-06
718,1856,CrossFit,785,2024-05-15
719,4316,HIIT,487,2025-03-01
720,198,Strength,370,2025-06-23
721,3400,Strength,685,2025-10-08
722,1204,CrossFit,498,2024-05-05
723,4272,CrossFit,560,2026-01-22
724,1348,CrossFit,765,2025-04-29
725,2316,Strength,178,2025-02-28
726,3667,Yoga,161,2025-03-21
727,2864,HIIT,777,2024-09-17
728,2190,Yoga,461,2024-06-08
729,4229,HIIT,748,2024-07-07
730,824,Strength,288,2024-10-06
731,2784,Strength,593,2024-07-12
732,4898,CrossFit,758,2025-10-20
733,722,Yoga,600,2024-06-01
734,1712,Cardio,501,2025-05-25
735,3820,CrossFit,390,2024-10-29
736,2903,CrossFit,294,2024-12-11
737,866,Yoga,605,2024-04-07
738,901,Cardio,351,2025-11-18
739,1132,Yoga,657,2025-05-16
740,112,Cardio,705,2024-11-22
741,892,CrossFit,590,2025-12-06
742,4774,Yoga,718,2024-10-19
743,2219,Strength,777,2024-12-13
